Ticker,Valoración de medias móviles,Volumen,Última,Media móvil simple (20),Media móvil simple (50),Media móvil simple (200),Banda superior de Bollinger (20),Banda inferior de Bollinger (20),"Nivel MACD (12, 26)","Señal MACD (12, 26)",Índice de fuerza relativa (14)
JPM,Comprar,1019,2165.75,2140.54449,2154.27101,2240.618603,2187.46662119,2093.62235881,-1.06742103,-2.17099433,53.2338535
ALFA/A,Fuerte Compra,11154692,15.17,13.995,14.0196,12.42660001,14.95594745,13.03405255,0.27923816,0.14902067,71.24862011
MRNA,Vender,2498,1489.37,1551.416495,1474.745796,,1651.70370525,1451.12928475,8.38386566,23.29468762,46.86898476
FCX,Fuerte Compra,600843,381.72,355.832001,342.5868008,256.09130055,378.33147176,333.33253024,8.88701173,7.4797502,68.88641711
PBR/N,Vender,64342,156,154.633501,170.9368,191.27624995,164.30751123,144.95949077,-5.63410448,-6.69178798,45.65298747
BAC,Fuerte Venta,3826,522,525.1214975,542.457398,558.48174925,549.99037828,500.25261672,-7.92154116,-7.38948497,47.37953018
ROKU,Fuerte Compra,29,4680,4537.65147,3937.4276,,5138.29285144,3937.01008856,231.54761226,269.05595002,59.42347646
TEVA/N,Neutral,600,200.37,198.4400005,211.9256002,227.4171503,206.4068533,190.4731477,-2.80338956,-3.88668852,48.15373618
RIG/N,Fuerte Venta,3266,17.5,17.64350025,24.35580016,58.22610008,19.16496372,16.12203678,-2.01635405,-2.57361294,37.41295983
AAL,Comprar,1263579,276.48001,273.553001,278.4472004,324.89315055,288.86872558,258.23727642,-2.41723478,-2.71203532,52.07334622
TERRA/13,Fuerte Compra,2824619,32.25,31.01149995,29.1178,27.79555,32.81624155,29.20675835,0.87174923,0.87534078,71.89271231
AXP,Fuerte Venta,1386,2199.5,2216.29,2203.1886,2200.0097455,2284.57085542,2148.00914458,-1.80750727,5.76625582,48.93523401
VALUEGF/O,Vender,29997,93.099998,86.3650007,124.04300028,115.21660004,109.19961921,63.53038219,-8.36158652,-12.21182895,44.29140829
TSN,Vender,17,1266.15,1299.877995,1354.138598,,1398.94144359,1200.81454641,-31.43631419,-30.1787921,42.65508247
OPK,Comprar,16,90,87.6890003,85.85620018,101.97925006,102.7357007,72.6422999,2.56344258,2.34317441,53.427801
DANHOS/13,Fuerte Venta,8786582,20.16,20.3540001,20.27059996,22.16395003,21.52926853,19.17873167,0.03873469,0.12010795,48.93741793
WALMEX,Comprar,29860092,53.209999,52.42200035,53.08420018,55.30715001,54.330587,50.5134137,-0.18989666,-0.27946519,56.37431014
WFC,Fuerte Venta,1850,489.98999,513.4134995,522.143002,650.9327499,556.62836622,470.19863278,-11.51441098,-7.62517921,40.24698186
AXTEL/CPO,Fuerte Compra,1013403,8.36,7.6375,7.204,4.6078,8.70774997,6.56725003,0.37110378,0.32012372,73.0842614
LEVI,Fuerte Compra,140,347,314.6495,,,372.66655155,256.63244845,10.13165871,4.6288105,61.39883595
BA,Vender,2345,3562.5,3568.129505,3611.006204,4132.1471035,3712.92827855,3423.33073145,-16.71611892,-21.4119567,50.31729606
SAN,Fuerte Venta,5377,41,41.4514997,44.92059976,56.47144986,43.11356156,39.78943784,-1.13084386,-1.2776643,39.48180986
AZN/N,Fuerte Venta,757,1088,1159.674495,1188.588396,1093.80774865,1255.04821687,1064.30077313,-28.70908903,-20.43855324,35.3797551
C,Fuerte Venta,13213,923.34998,941.6195045,1023.4766086,1148.76310265,981.64550198,901.59350702,-28.20823387,-30.66386439,39.22882803
ABMD,Comprar,137,5847.7998,5834.183475,5983.502588,,6050.84337386,5617.52357614,-71.59513733,-56.31546882,47.91675371
GICSA/B,Fuerte Venta,790289,2.99,3.014,3.0862,4.06755,3.09484553,2.93315447,-0.02852728,-0.03059581,44.46150399
MS,Fuerte Compra,272,1083,1065.4495,1101.061602,1005.35630095,1111.90175871,1018.99724129,-2.82747169,-7.24932666,50.63225922
R/A,Fuerte Compra,762825,63.810001,56.60349995,54.68059968,70.25729984,65.20243399,48.00456591,2.46682822,1.70610301,73.14650483
