Ticker,Valoración de medias móviles,Última,Media móvil simple (20),Media móvil simple (50),Media móvil simple (200),Banda superior de Bollinger (20),Banda inferior de Bollinger (20),"Nivel MACD (12, 26)","Señal MACD (12, 26)"
WYNN,Vender,1794.89,1734.046,1782.084802,2039.5851495,1972.56160078,1495.53039922,26.01838105,10.70306276
WMT,Neutral,2916.01,2927.507505,2845.0194,2587.64505,3011.12151099,2843.89349901,24.84223428,27.11131492
TJX,Vender,1195.9,1207.107005,1192.376202,1089.29405185,1331.39467441,1082.81933559,23.91427087,19.63934729
BMY,Fuerte Compra,1405,1356.175,1331.130398,1266.5489509,1450.38190007,1261.96809993,22.07251477,16.86732704
EBAY,Fuerte Compra,1269,1245.411005,1181.3818014,838.7570509,1296.38337842,1194.43863158,20.78665683,25.92323116
AA1,Fuerte Compra,340,310.4175005,270.6884,317.48664965,359.07698256,261.75801844,20.72786618,20.24522043
BIIB,Vender,6316.7998,6338.95199,6314.467398,5811.6879075,6684.70596347,5993.19801653,19.09441156,10.85185732
NEM,Fuerte Compra,1510,1508.683995,1406.519002,,1619.80533438,1397.56265562,18.60601684,28.22146585
JKS/N,Fuerte Compra,497.5,444.301999,421.1715986,381.269099,528.95466545,359.64933255,18.57471228,17.93728917
HAL,Fuerte Compra,369,344.0420005,310.7729988,323.14129995,381.18972852,306.89427248,18.04723897,16.64113745
GM,Fuerte Compra,647.79999,602.7730005,591.7046006,610.0538508,668.34823477,537.19776623,17.97395067,11.08220637
GPS,Comprar,329,311.0805015,282.2406008,337.2435507,356.79314604,265.36785696,17.02461736,16.14021643
MSFT,Comprar,4646.5801,4633.894515,4599.71499,3749.4442505,4887.48614893,4380.30288107,16.72062312,26.86930731
TWTR,Fuerte Compra,861.29999,831.444503,786.5658032,679.3496516,863.68789817,799.20110783,16.13255767,16.8485883
BBBY,Fuerte Compra,272.29999,255.3439995,229.1263994,237.4391504,293.47970011,217.20829889,16.09031797,15.61660592
NIO/N,Fuerte Compra,312,292.2945,249.0523998,,331.11544401,253.47355599,16.02714532,18.13910196
V,Fuerte Compra,4455.5898,4373.05244,4366.994194,3971.8083035,4497.50579054,4248.59908946,15.81688272,11.06530477
CLX,Vender,5010,5164.8,4967.734198,,5441.39327541,4888.20672459,15.22307164,65.41666756
SBUX,Comprar,1715.11,1712.773,1695.947602,1675.541851,1783.20193499,1642.34406501,14.08431523,12.2434287
ATVI,Comprar,1820,1827.25849,1774.700394,1404.2408985,1952.544034,1701.972946,12.52709546,20.96467974
ROST,Fuerte Venta,1991,1998.415,2050.208998,2031.4255515,2140.07176158,1856.75823842,12.37589634,3.05060827
TX,Fuerte Compra,387.48999,355.829001,353.3620002,358.9457504,406.58647174,305.07153026,12.22496547,8.12507672
VZ,Fuerte Compra,1311,1289.8355,1267.44,1219.42145,1331.16981092,1248.50118908,11.36059842,11.87645763
MS,Fuerte Compra,1139,1125.519005,1110.307204,964.22230125,1173.92509576,1077.11291424,11.3538945,11.61310423
ANTA/N,Fuerte Compra,240.02,215.076002,200.1538012,,247.19448067,182.95752333,11.18959706,9.25187661
FCX,Fuerte Compra,330.29999,305.1090025,282.2854018,227.40820045,332.53934795,277.67865705,10.33765787,10.31238409
MOMO/N,Comprar,470,430.582,432.6193998,558.58594915,492.26125668,368.90274332,9.95861681,4.60742121
JNJ,Fuerte Compra,3340,3294.65951,3265.211408,3043.418499,3383.7982392,3205.5207808,9.76010851,8.26252494
PFE,Comprar,846.54999,854.4644965,804.6670008,776.08735095,875.85449896,833.07449404,9.69349805,13.6370702
PEP,Vender,3029.99,3049.197515,2998.324614,2833.6658525,3110.55314464,2987.84188536,9.56722792,13.92728465
ERIC/N,Comprar,258.45001,261.393002,227.954801,172.95950065,271.72855596,251.05744804,9.15305646,12.14264844
ANET,Vender,4905.96,5113.24251,5027.055588,4871.4995565,5644.55702709,4581.92799291,9.08963482,71.09637214
JPM,Fuerte Venta,2177.3899,2196.836495,2188.529192,2331.644353,2305.63925039,2088.03373961,8.94012174,12.45222653
CMCSA,Comprar,960,964.8860005,929.0259994,876.92600055,987.75008775,942.02191325,8.74542087,12.00526082
CS/N,Fuerte Compra,251,226.478,230.0579992,258.5007998,262.69036771,190.26563229,8.30041183,4.55709634
BAC,Vender,563.40002,566.512501,552.694399,583.0756996,607.07378687,525.95121513,7.99506923,9.43487626
APA,Comprar,336.14999,338.6020005,320.8204016,505.1670007,376.85110922,300.35289178,7.87491003,10.60350238
UAL,Vender,761.02002,757.595004,773.1391978,1105.54415015,838.28134332,676.90866468,7.63880092,7.53223827
AXP,Fuerte Venta,2150,2159.8195,2179.993384,2225.3137975,2308.126197,2011.512803,7.56257849,10.67577946
